Date;AAPL;AMZN;BA;BAC;BRK-B;CSCO;CVX;FB;GOOG;HD;INTC;JNJ;JPM;MA;MRK;MSFT;PFE;PG;T;UNH;V;VZ;WFC;WMT;XOM;RUI
14/01/2015;109.800003;293.269989;130.380005;16.040001;147.820007;27.920000;103.900002;76.279999;499.498627;102.639999;36.349998;104.000000;56.810001;83.459999;62.639999;45.959999;32.480000;89.989998;33.330002;103.330002;63.889999;46.970001;51.250000;86.610001;89.739998;1118.859985
15/01/2015;106.820000;286.950012;130.139999;15.200000;147.580002;27.410000;102.669998;74.050003;500.416107;101.010002;36.189999;102.489998;54.990002;82.250000;61.880001;45.480000;32.400002;89.860001;33.259998;104.459999;63.282501;47.099998;50.720001;87.379997;88.959999;1108.319946
16/01/2015;105.989998;290.739990;130.779999;15.380000;149.210007;27.680000;105.120003;75.180000;506.688873;104.120003;36.450001;104.040001;55.930000;83.800003;63.029999;46.240002;32.799999;91.250000;33.799999;105.769997;63.737499;47.990002;51.639999;86.769997;91.120003;1123.109985
20/01/2015;108.720001;289.440002;131.220001;15.260000;148.630005;28.070000;106.470001;76.239998;505.512115;103.250000;36.090000;101.290001;55.709999;84.260002;62.610001;46.389999;33.099998;91.190002;33.950001;105.620003;64.209999;48.180000;52.000000;86.690002;91.089996;1124.479980
21/01/2015;109.550003;297.250000;132.410004;15.410000;147.179993;27.840000;108.160004;76.739998;516.621643;103.529999;36.480000;101.900002;55.889999;83.720001;62.160000;45.919998;32.639999;90.730003;34.000000;109.320000;64.320000;48.250000;52.099998;86.639999;91.870003;1130.000000
22/01/2015;112.400002;310.320007;135.639999;16.090000;150.149994;28.500000;108.919998;77.650002;532.926819;106.070000;36.910000;103.760002;57.590000;84.379997;62.590000;47.130001;32.810001;91.620003;33.790001;113.849998;64.400002;47.799999;53.770000;88.300003;92.870003;1147.530029
23/01/2015;112.980003;312.390015;134.619995;15.730000;149.119995;28.209999;106.849998;77.830002;538.471619;105.370003;36.450001;102.199997;56.680000;84.389999;62.490002;47.180000;32.450001;90.080002;33.369999;112.000000;64.572502;47.150002;53.259998;88.510002;90.889999;1141.670044
26/01/2015;113.099998;309.660004;134.070007;15.850000;149.699997;27.969999;108.879997;77.500000;533.744629;106.360001;35.810001;102.260002;56.770000;83.599998;62.820000;47.009998;32.799999;89.580002;33.180000;111.610001;64.132500;46.959999;53.580002;88.629997;91.760002;1145.900024
27/01/2015;109.139999;306.750000;132.479996;15.630000;147.649994;26.900000;108.260002;75.779999;517.210022;105.160004;34.189999;102.089996;56.200001;81.769997;62.560001;42.660000;32.599998;86.489998;32.810001;110.010002;62.747501;46.349998;52.970001;87.529999;90.949997;1131.469971
28/01/2015;115.309998;303.910004;139.639999;15.200000;144.779999;26.809999;103.709999;76.239998;508.603638;104.739998;33.779999;101.480003;54.750000;80.739998;61.450001;41.189999;31.950001;85.150002;32.680000;108.459999;61.590000;46.049999;52.160000;86.820000;87.949997;1116.109985
29/01/2015;118.900002;311.779999;147.779999;15.430000;146.289993;27.219999;103.000000;78.000000;509.261810;107.620003;34.209999;102.379997;55.669998;81.379997;62.090000;42.009998;31.830000;85.669998;32.959999;109.389999;62.000000;46.110001;52.759998;87.720001;87.580002;1126.390015
30/01/2015;117.160004;354.529999;145.369995;15.150000;143.910004;26.370001;102.529999;75.910004;533.056519;104.419998;33.040001;100.139999;54.380001;82.029999;60.279999;40.400002;31.250000;84.290001;32.919998;106.250000;63.727501;45.709999;51.919998;84.980003;87.419998;1111.849976
02/02/2015;118.629997;364.470001;146.259995;15.460000;146.729996;26.830000;106.059998;74.989998;527.033020;104.430000;33.650002;100.830002;55.470001;82.980003;60.880001;41.279999;31.650000;85.120003;33.560001;107.290001;63.834999;46.980000;52.810001;85.709999;89.580002;1125.619995
03/02/2015;118.650002;363.549988;147.339996;15.890000;148.289993;27.120001;109.529999;75.400002;527.790955;107.239998;33.700001;102.459999;56.720001;83.809998;61.020000;41.599998;32.020000;85.949997;34.340000;107.809998;64.947502;47.830002;53.450001;86.190002;92.250000;1142.020020
04/02/2015;119.559998;364.750000;147.220001;15.790000;147.529999;26.690001;108.349998;75.629997;521.328674;108.410004;33.599998;101.360001;56.380001;84.180000;59.049999;41.840000;32.070000;85.790001;34.410000;107.919998;66.222504;47.799999;53.029999;86.650002;91.459999;1137.589966
05/02/2015;119.940002;373.890015;148.600006;15.970000;149.669998;27.260000;109.309998;75.610001;526.135498;108.989998;33.939999;102.459999;56.770000;85.820000;59.169998;42.450001;32.990002;86.699997;34.540001;108.820000;67.949997;47.860001;53.669998;87.279999;92.360001;1149.530029
06/02/2015;118.930000;374.279999;148.000000;16.490000;150.179993;27.240000;109.610001;74.470001;529.546143;109.040001;33.299999;101.099998;57.889999;84.160004;58.790001;42.410000;33.169998;85.610001;34.869999;107.599998;66.855003;49.330002;54.450001;87.330002;91.500000;1145.660034
09/02/2015;119.720001;370.559998;147.580002;16.350000;149.130005;27.120001;110.430000;74.440002;526.384827;108.339996;32.930000;99.779999;57.820000;84.589996;58.330002;42.360001;33.070000;85.050003;34.639999;106.489998;66.364998;49.090000;54.209999;85.910004;91.559998;1140.579956
10/02/2015;122.019997;373.000000;148.039993;16.420000;149.919998;27.490000;110.180000;75.190002;535.469849;110.669998;33.700001;100.349998;58.459999;84.230003;58.849998;42.599998;34.150002;85.389999;34.849998;108.970001;66.137497;49.509998;54.570000;87.290001;91.010002;1152.479980
11/02/2015;124.879997;375.140015;147.919998;16.360001;149.679993;26.930000;109.980003;76.510002;534.502502;110.309998;33.549999;100.379997;58.369999;84.459999;58.740002;42.380001;34.250000;85.639999;34.389999;109.849998;66.497498;49.810001;53.900002;86.339996;90.599998;1152.589966
12/02/2015;126.459999;377.170013;148.089996;16.670000;149.789993;29.459999;110.860001;76.230003;541.443481;112.160004;34.130001;98.440002;59.570000;87.519997;58.880001;43.090000;34.869999;86.029999;34.610001;109.839996;67.727501;49.520000;54.860001;85.889999;92.370003;1163.829956
13/02/2015;127.080002;381.829987;149.729996;16.610001;148.339996;29.430000;112.779999;75.739998;547.506836;111.889999;34.360001;99.620003;59.669998;87.139999;58.810001;43.869999;34.639999;85.900002;34.660000;109.440002;67.407501;49.310001;55.330002;85.809998;93.370003;1168.890015
17/02/2015;127.830002;375.429993;149.919998;16.629999;149.169998;29.309999;112.400002;75.599998;541.353699;112.000000;34.740002;100.440002;60.099998;87.519997;58.790001;43.580002;34.580002;85.489998;34.709999;109.760002;67.717499;49.180000;55.369999;85.959999;93.050003;1170.609985
18/02/2015;128.720001;373.369995;151.169998;16.299999;148.669998;29.490000;110.440002;76.709999;538.222290;111.989998;34.270000;99.959999;59.369999;87.730003;58.799999;43.529999;34.480000;86.260002;34.490002;109.769997;67.279999;48.939999;54.520000;86.290001;91.010002;1170.949951
19/02/2015;128.449997;379.000000;153.750000;16.209999;147.479996;29.309999;108.349998;79.419998;541.383606;110.940002;34.209999;100.699997;59.230000;89.199997;58.299999;43.500000;34.410000;85.209999;34.090000;110.029999;67.275002;48.910000;54.560001;83.519997;89.440002;1169.819946
20/02/2015;129.500000;383.660004;158.309998;16.379999;148.720001;29.610001;108.599998;79.900002;537.474365;112.239998;34.410000;100.260002;59.799999;90.790001;58.349998;43.860001;34.560001;84.870003;34.080002;112.620003;68.250000;48.970001;54.830002;84.300003;89.919998;1177.229980
23/02/2015;133.000000;380.140015;154.740005;16.200001;147.369995;29.629999;107.860001;78.839996;530.453613;112.279999;33.759998;100.180000;59.349998;91.120003;58.299999;44.150002;34.389999;85.389999;33.849998;116.400002;68.252502;48.770000;55.099998;84.599998;89.010002;1176.790039
24/02/2015;132.169998;378.589996;154.380005;16.379999;148.949997;29.629999;107.959999;78.449997;534.622192;116.750000;34.410000;100.699997;60.820000;91.320000;58.360001;44.090000;34.340000;85.500000;34.049999;115.430000;68.117500;49.220001;55.369999;84.570000;89.419998;1179.660034
25/02/2015;128.789993;385.369995;153.009995;16.490000;148.779999;29.490000;108.580002;79.559998;542.380920;116.309998;33.950001;101.209999;61.139999;92.669998;58.490002;43.990002;34.660000;85.459999;34.209999;114.050003;68.252502;49.200001;55.330002;83.570000;89.599998;1179.180054
